College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
New Hope Christian College,,0.2727,31921,,0.6364,8,20056,0.775,,
New Jersey City University,1015,0.9066,43504,0.5303941216,0.7356,14,13718,0.8205,0.6148720682,11468
New Jersey Institute of Technology,1314,0.6914,68192,0.3440366972,0.8751,15,17093,0.6706,0.7652678267,12837
New Mexico Highlands University,,,33554,0.4535315985,0.5241,11,12305,0.829,0.5280065898,6302
New Mexico Institute of Mining and Technology,1233,0.9672,50943,0.2629107981,0.7599,10,11364,0.5287000000000001,0.7296703297,9083
New Mexico State University,,,30836,0.4362586997,0.5892,19,4998,0.8220999999999999,0.4610526316,6416
New York Academy of Art,,0.5801,24971,0.2339832869,0.625,8,50432,0.6188,0.9312169312,6505
New York College of Podiatric Medicine,,,,,,,,0.0,,9329
New York Institute of Technology,1218,0.8035,54041,0.3296541575,0.7687,12,21861,0.7619,0.8395860285,12613
New York Law School,,,,,,,,0.0,,14649
New York Medical College,,,,,,,,0.0,,8833
New York School of Interior Design,,0.5393,44390,0.3636363636,,12,37709,0.4076,,
New York University,1243,0.4614,45805,0.3169421488,0.8214,15,16664,0.4139,0.8579992507,7659
Newberry College,1027,0.5741,36322,0.3131313131,0.7379,13,18911,0.5636000000000001,0.956043956,6696
Newman University,1085,0.7165,44198,0.394,0.6875,13,18117,0.3318,0.8486486486,6302
NewSchool of Architecture and Design,,0.6085,62509,0.3787878788,0.4643,8,48752,0.6079,0.9205298013,6756
Niagara University,1160,0.922,43710,0.2415153907,0.7907,11,18902,0.35309999999999997,0.9558052434,9238
Nicholls State University,1135,0.9719,36722,0.4583710407,0.6967,16,13466,0.31439999999999996,0.8414384961,6558
Nichols College,1076,0.8477,43416,0.3157099698,0.7436,16,26832,0.2791,0.972027972,7990
Norfolk State University,969,0.8864,34245,0.3735213831,0.6638,15,12643,0.9733,0.9211553474,8889
North Carolina Central University,1010,0.7602,33054,0.3286619953,0.7364,15,15328,0.9527999999999999,0.903263746,8479
North Carolina State University,1361,0.4748,54811,0.1929167376,0.9425,15,16239,0.3162,0.8571662036,11053
North Carolina Wesleyan University,984,0.2802,35997,0.4677060134,0.6511,12,18119,0.7400000000000001,0.9247027741,6144
North Central College,,,36362,0.4257005378,0.6635,17,6190,0.47669999999999996,0.5860967821,6298
North Central University,1156,0.684,47336,0.2659660469,0.7659,13,25605,0.3607,0.95,8591
North Dakota State University,1151,0.9546,51147,0.1727807971,0.7612,18,17692,0.1338,0.9320471597,9434
North Greenville University,1097,0.6974,35632,0.267,0.6816,11,19514,0.3692,0.8126195029,5949
North Park University,,,32179,0.5052254098,,21,8654,0.7383,0.4391504252,7818
Northeast Ohio Medical University,,,,,,,,0.0,,11229
Northeastern Illinois University,,0.6211,41196,0.5086887836,0.608,11,13555,0.7741,0.5195618153,8739
Northeastern State University,1048,0.9946,38825,0.418079096,0.6097,17,9769,0.5189999999999999,0.6964015724,7248
Northeastern University,1395,0.7981,50014,0.3315363881,0.6179,8,22037,0.6667000000000001,0.9357798165,10284
Northern Arizona University,,0.7835,43866,0.3868625756,0.7446,21,14636,0.4397999999999999,0.7918160561,8903
Northern Illinois University,,0.7045,44600,0.3832968636,0.6747,15,14266,0.5425,0.9040487163,9555
Northern Kentucky University,1146,0.8029,40663,0.3813186813,0.7006,17,6575,0.2074,0.8565270936,8016
Northern Michigan University,,0.7127,36898,0.2846975089,0.7247,19,16583,0.1424,0.8971389646,8320
Northern New Mexico College,,,32406,0.6303191489,0.4138,11,9158,0.8732,0.1624713959,6355
